[Visionary] 0day-sub	远鉴字幕组&HAFEN字幕组联合制作
Ah, should we tell him	我们是不是得告诉他...
there are no restrooms in the Land of the Dead?	死灵国度没有厕所给他用
Vámonos.	我们走
We got a family looking for a living boy.	有一家人正在找一个活着的小男孩
I wanna be a musician, I need a musician's blessing.	我想成为一名音乐家 我需要一位音乐家的祝福
We gotta find my great-great-grandpa.	我们得找到我的曾曾爷爷
Hold it, muchaco.	等一下 小朋友
Huh!	啊!
I found that little boy!	我找到那个活人小男孩了!
Oh, excuse me. Excuse me, folks.	各位 不好意思 让一让
Excuse me.	各位...
Oh.	啊
Dante.	丹丹
Disturbing the peace.	扰乱公共秩序
Fleeing an officer.	拒捕
Falsifying a unibrow.	戴假一字眉
That's illegal?	这也算犯法?
Very illegal.	当然算啦
You need to clean up your act, amigo.	你得遵纪守法啊 朋友
Amigo?	朋友?
Oh, that's-that's so nice to hear you say that because	听您这么称呼我真是倍感欣慰
I have just had a really hard Día de Muertos	因为今年亡灵节我一直过得不顺
and I could really use an amigo right now.	我现在正需要朋友伸出援手
And amigos, they help their amigos.	朋友之间 是会互相帮扶的吧
Listen, you get me across that bridge tonight...	我跟你讲 要是你能帮我今晚过桥
and I'll make it worth your while.	我保证不会亏待你的
You like de la Cruz?	你是德拉库斯的粉丝?
He and I go way back.	我和他交情匪浅
I can get you front row seats to his sunrise spectacular show.	我可以给你弄到几张他光芒万丈演唱会前排的座位
I-I'll get you backstage. You can meet him.	我能给你带到后台 你能见到德拉库斯本人哦
You just gotta let me cross that bridge.	你只要让我过桥就好
I should lock you up for the rest of the holiday.	我就该把你关到亡灵节结束
But my shift's almost up and...	我马上下班了
I wanna visit my living family.	我还想去看我活人世界的亲戚朋友呢
So I'm letting you off with a warning.	所以我只给你个警告 你可以走了
Can I at least get my costume back?	至少把我的那一身戏服还给我吧?
Uh... no.	啊...没门
Ser maldito.	算什么朋友啊
Hey.	嘿
Hey!	等下!
You really know de la Cruz?	你真的认识德拉库斯?
Who wants to... ah! Ay! You're alive!	谁会想....我去!你是个活人!
Yeah, I'm alive.	是的 我是个活人
And I want to get back to the Land of the Living...	而我想回到活人世界
I need de la Cruz' blessing.	我需要德拉库斯的祝福
That's weirdly specific.	非得找他 这要求可真怪
He's my great-great-grandfather.	因为他是我曾曾爷爷
He's your gr-gr-gr- what?	他是你曾曾 啥?
Ew.	恶心
Wait, wait, wait, wait, wait.	等一下 不对
Wait, wait.	等等
Hunh!	哈 我知道了!
Wait. No. Wait, wait, wait, wait	等等 不对
Wait, uh, wait,	等一下
Wait, uh, wait, wait,	等等
Wait, uh, wait, wait, wait,	等等..
Wait, uh, wait, wait, wait, wait,	等等..
Wait, uh, wait, wait, wait, wait, wait,	等等..
Wait, uh, wait, wait, wait, wait, wait, wait.	等等 等一下
Yes! You're going back to the Land of the Living!	是啦!你说你是要回到活人世界去!
You know what? Maybe this isn't such a good...	兴许问你就是个错误...
Niño, niño, I can help you.	不不 我能帮你
You can help me. We can help each other.	你也能帮我 我们可以互相帮助
But most importantly, you can help me.	而最重要的是你能帮到我
- Miguel! - Huh!	-米格! 啊!
- I'm Héctor. - That's nice.	-我叫埃克托 - 很高兴认识你
Esperame, chamaco!	等等我 小朋友!
Ay! He is going to get himself killed!	哎 这孩子会害死自己的
I need my spirit guide...	我得找我的爱波瑞吉来
Pepita.	佩皮塔
Who has that petal Miguel touched?	米格碰过的那个花瓣在谁手里?
Here... n-nice alebrije.	给你闻...乖乖爱波瑞吉
Hey, hey, hold still.	嘿 别乱动
Look up, look up. A ver, a ver.	眼睛向上看 向上 对 向上
Look up, up, up!	向上看
Okay.	好了
Eh. Ta-da!	大功告成!
Dead as a doorknob.	你跟真的死灵别无二致啦
So listen, Miguel. This place runs on memories.	听好 米格 亡灵世界是靠活人记忆才得以运转
When you're well remembered, people put up your photo...	如果很多人记得你 人们会把你的照片供奉起来
and you get to cross the bridge	这样你就可以在亡灵节期间过桥
and visit the living on Día de Muertos.	去探望你活着的亲朋好友
Unless you're me.	除非你如我一般
You don't get to cross over?	你不能过桥?
No one's ever put up my picture.	没有人供奉我的照片
But you can change that!	但是你能解决这个问题!
This is you?	这是你?
Eh, Muy guapo, eh?	对啊 长的帅吧?
So, you get me to my great-great-grandpa...	那你先到我去见我的曾曾爷爷
Then I put up your photo when I get home?	然后我回家把你的照片供奉起来
Such a smart boy!	你真聪明!
Yes! Great idea, yes!	对!这主意棒极了!
One hiccup, de la Cruz is a tough guy to get to...	不过有一点比较难 想见德拉库斯非常困难
and I need to cross that bridge soon. Like tonight.	而我必须尽快过桥 今晚就得过去
So, you got any other family here, you know?	所以我想知道你在这还有其他的家人吗?
Someone a bit more, eh, accessible?	比较容易找到的那种 有吗?
Um... nope.	呃 没有
Don't yank my chain, chamaco.	小子 你别想糊弄我
You gotta have some other family.	你在这肯定有别的家人
Only de la Cruz.	只有德拉库斯
If you can't help me, I'll find him myself.	如果你不能帮我 那我自己去找他
Ugh. Okay, okay, kid. Fine, fine.	好吧 好吧 小子 我帮你行了吧
I'll get you to your great-great-grandpa.	我带你去见你的曾曾爷爷
It's not gonna be easy, you know.	找他可真的是很不容易
You know, he's a- he's a busy man.	你知道 他可是..是非常忙的
Wait, what are you doing?	等等 你在干什么?
I'm walking like a skeleton. Blending in.	我在学骷髅走路 我得融入亡灵世界
No. Skeletons don't walk like that.	骷髅才不这么走路
It's how you walk.	你不就这么走么
No, I don't.	我才不是呢
Stop it!	别学了!
Whoa!	哇哦!
Ernesto de la Cruz' Sunrise Spectacular?	欧内斯托·德拉库斯的光芒万丈演唱会?
Que padre?	太棒了!
Wuacch, every year, your great-great-grandpa	无聊 你曾曾爷爷每年都搞这么一出
puts on that dumb show to mark the end of Día de Muertos.	愚蠢的演唱会作为亡灵节的压轴戏
A-a-and you can get us in!	那你能带我进去!
I'm...	这个嘛...
Hey, you said you had front-row tickets!	嘿 你之前可是说你有前排座位的票!
That...	那个嘛..
that was a lie.	是我撒谎
I apologize for that.	我对此表示歉意
Cool off, chamaco, come on. I'll get you to him.	放轻松 小伙子 来 我肯定能带你见到他
How?	你有什么办法?
'Cause I happen to know where he's rehearsing.	因为我恰好知道他在哪排练
Ugh.	呃
You better have my dress, Héctor.	你最好把我的裙子带来了 埃克托
Hola, Ceci!	你好啊 塞西
Ay!	啊
Hola.	你好
Cezi!	塞西
I lost the dress.	戏服我给弄丢了
Ay, diosa Mia!	我的天啊!
I've got to dress 40 dancers by sunrise.	天亮前我得给40位舞蹈演员配好装扮
- And thanks to you... - Cezi, Cezi...	- 现在因为你... - 塞西 塞西
- I'm one Frida short - Cezi...	- 现在我还差你这位舞蹈演员 - 塞西..
of an opening number. - Dante.	没法表演了 弗里达 - 丹丹
Dante!	丹丹
We shouldn't be in here.	我们不能来这
Dante! Ven acá!	丹丹 快回来
You! How did you get in here?	你!你是怎么进来的!
I-I just followed my...	我只是跟着我的...
Hunh! Oh, the mighty Xolo dog!	哦 好可爱的无毛神犬
Guider of wandering spirits.	游荡亡灵的指引者
And whose spirit have you guided to me?	你把谁的灵魂带到我这来了?
I don't think he's a spirit guide.	我觉着他不是爱波瑞吉
Uh-uh-uh! The alebrijes of this world can take many forms.	那你就错了 死亡世界爱波瑞吉可是形状各异的
They are as mysterious as they are powerful.	他们既神秘又强大
Or maybe he's just a dog.	或许他就是条狗
Come! I need your eyes.	来 我需要你帮我看看
Your are the audience.	你现在就是观众了
Darkness!	黑暗
And from the darkness...	而黑暗中的是..
A giant papaya!	一个巨大的木瓜!
Dancers emerge from the papaya.	舞者从木瓜中涌出
And the dancers...	这些舞者..
Are all me!	全都是我!
And they go to drink from the milk of their mother.	他们去吸吮仙人掌母亲的乳汁
Who is a cactus. But who is also me!	这个仙人掌也是我!
And her milk is not milk...	而她的乳汁却不是乳汁
but tears.	而是眼泪
Is it too obvious?	是不是太夸张了?
I think it's just the right amount of obvious.	我觉着夸张程度把握的相当准确
It could use some music.	可以配上点音乐
Oh, what if you did like...	哦 比如你可以这样...
Tun-tun-tun-tun-tun?	嘟-嘟-嘟-嘟-嘟?
Oh, and then it could go...	哦 然后再这样...
Darala-dalala-dalala-dalala Whenk?	哒啦啦-哒啦啦-哒啦啦-哒啦啦 嘟?
And what if everything was on fire?	那在舞台上布满熊熊烈火如何?
Yes! Fire everywhere!	对 熊熊烈火!
Inspired.	灵感井喷!
You. You have the spirit of an artist.	你是个天生的艺术家
The dancers exit. The music fades. The lights go out.	舞者退场 音乐淡出 灯光关闭
And Ernesto de la Cruz rises to the stage.	然后欧内斯托·德拉库斯升上舞台中央
Huh?	啊?
He does a couple of songs. The sun rises. Everyone cheers.	他唱几首歌 太阳升起 观众们欢呼雀跃
Excuse me, where's the real de la Cruz?	冒昧问一下 德拉库斯本人现在何处?
Ernesto doesn't do rehearsals.	他从来不彩排
He's too busy hosting that fancy party at the top of his tower.	他在自己的塔顶忙着喝酒聚会呢
Chamaco, you can't run off on me like that.	小子 你不能到处乱跑
Come on, stop pestering the celebrities.	来吧 别打扰这些大明星了
You said my great-great-grandpa would be here.	你说我的曾曾爷爷会在这
He's halfway across town throwing some big party.	他明明在亡灵城的那一边举办派对呢
That bum. Who doesn't show up to his own rehearsal?	那个混蛋 自己的演唱会都不来排练?
If you're such good friends, how come he didn't invite you?	如果你跟他交情匪浅 为什么他没邀请你去派对呢?
He's your great-great-grandpa. How come he didn't invite you?	他还是你曾曾爷爷呢 他怎么不邀请你?
Hey, Gustavo! You know anything about this party?	嘿 古斯塔沃!那边的派对你知道是怎么回事吗?
Sh-it's the hot ticket!	一票难求!
But if you're not on the guest list, you're never gettin' in,	如果你不在邀请名单里的话 你就别想进去
Chorizo.	腊香肠
Hey, it's Chorizo!	嘿 是腊香肠
Ah-ha, very funny, guys. Very funny.	呵呵 很好笑 非常好笑
Chorizo?	腊香肠?
Oh, this guy's famous.	哦 这家伙可出名了
Go on, go on. Ask him how he died.	快啊 你问问他是怎么死的
I-I don't wanna talk about it.	我不想提起那件事
He choked on some chorizo!	他是吃腊香肠噎死的!
I didn't choke, okay? I got food poisoning	我不是噎死的 好吧?是食物中毒
which is a big difference.	区别很大的
This is why I don't like musicians.	所以说我讨厌搞音乐的
Bunch of self-important jerks!	一群自以为是的混蛋!
Hey, I'm a musician.	嘿 我也是个搞音乐的好吧
- You are? - Well...	-你也是? - 那个..
If you really wanna get to Ernesto...	如果你真想参加那个派对去见欧内斯托
there is that music competition at the Plaza de la Cruz.	德拉库斯广场有个音乐才艺比赛
Winner gets to play at his party.	获胜者可以在派对里表演才艺
No, no, no, Chamaco! You are loco if you think...	不 不 小伙子 你可别抽风想去参加...
I need to get my great-great- grandfather's blessing.	我必须得到我曾曾爷爷的祝福
You know where I can get a guitar?	你知道哪能搞到一把吉他吗?
Ay... I know a guy.	哎 我倒是认识个人
Have you found him, Pepita? Have you found our boy?	你找到他了吗 佩皮塔?你找到米格了吗?
A footprint!	一个脚印!
It's a Rivera boot.	是我们家的鞋
- Size seven! - And a half.	- 7码的鞋 - 是7码半
- Pronated. - Miguel.	- 内八字 - 是米格
Why the heck would you wanna be a musician?	你到底是怎么想的 居然想搞音乐?
My great-great-grandfather's a musician.	我曾曾爷爷是个音乐家
Who spent his life performing like a monkey for complete strangers?	谁会愿意一生都像个猴子似的为一群陌生人表演音乐?
Blech! No, no, thank you, no.	搞不懂!我可理解不了
What do you know?	你知道什么啊?
So, how far is this guitar, anyway?	你说的那把吉他还得走多久才能找到?
We're almost there.	马上就到了
Keep up, chamaco, come on!	跟上啊 小子
Cousin Héctor!	埃克托表弟
Hey! These guys!	嘿 是你们啊!
Héctor!	埃克托!
Hey, tío, qué onda?	嘿 舅舅 你好吗?
These people are all you family?	这些人都是你的亲人?
Eh... yeah, in a way.	呃..算是吧
We're all the ones with no photos or ofrendas.	我们这些人都没有灵坛或者照片被人供奉起来
No family to go home to.	没有可以去看的家人
Nearly forgotten, you know?	几乎被人彻底遗忘了 你懂吧?
So we all call each other "cousin" or "tío" or-or whatever.	所以我们就互相认了亲 我叫你表哥 他叫我舅舅之类的
- Héctor! - Tía Chelos! Hey!	- 埃克托! - 雪洛姨妈 嘿!
Muchas gracias.	非常感谢
Save some for me.	给我留点
Is Chicharrón around?	猪皮哥在吗?
In the bungalow. I don't know if he's in the mood for visitors.	他在小屋里 我想他好像不太想见外人
Ah, who doesn't like a visit from cousin Héctor?	谁会不想见我埃克托啊?
Huh!	啊!
Buenas noches, Chicharrón.	晚上好啊 猪皮哥
I don't want to see your stupid face, Héctor.	我可不想见你这张蠢脸 埃克托
Come on, its Día de Muertos.	别这样 今天可是亡灵节
I brought you a little offering.	我带点儿酒跟你喝两口
Get outta here!	你给我出去!
I would Chich, but the thing is...	我可以马上就走 不过嘛..
me and my friend Miguel...	我和我的小朋友米格
we really need to borrow your guitar.	很想借你的吉他用用
- My guitar? - Yes.	- 我的吉他? - 是啊
My prized, beloved guitar?	我珍爱的宝贝吉他?
I promise we'll bring it right back.	我保证用完肯定还给你
Like the time you promised to bring back my van?	像你之前保证还给我的小货车那样吗?
Eh...	呃...
- Or my mini fridge? - Oh, you see...	- 还有我的小冰箱? - 哦 我说..
Or my good napkins, my lasso, my femur?!	我的手帕 我的绳子 我的大腿骨?
No, not like those things.	不不 这回跟之前不一样
Where's my femur, you...	我的大腿骨呢 你这...
Oh, oh.	哦..哦..
You okay, amigo?	你还好吗 老伙计?
I'm fading, Héctor.	我要不行了 埃克托
I can feel it.	我能感觉得到
I couldn't even play that thing if I wanted to.	就算我现在想弹吉他我也弹不动了
You, play me something.	你给我弹点什么吧
Oh, you know I don't play anymore, Chich.	不 你知道我再也不弹吉他了的 猪皮哥
The guitar's for the kid.	吉他是给那小男孩用的
You want it?	你想借用我的吉他?
You've got to earn it.	你必须给我弹一曲
Ay, only for you, amigo.	哎 那就为你破例一次吧 老伙计
Any requests?	你想听什么?
You know my favorite, Héctor.	你知道我最爱听哪首歌 埃克托
♪ Well, everyone knows Juanita ♪	谁都知道胡安妮塔
♪ Her eyes each a different color ♪	她瞳孔有不同颜色
♪ Her teeth stick out ♪	牙齿又歪
♪ And her chin goes in ♪	面颊又塌下
♪ And her... ♪	而她长长的
♪ Knuckles they drag on the floor ♪	手关节拖到了地上
Those aren't the words.	你歌词唱错了
There are children present.	这还有小孩子呢
♪ Her hair is like a brier ♪	头发像荆棘一样
♪ She stands in a bow-legged stance ♪	站着总是两腿弯弯
♪ And if I weren't so ugly ♪	要不是我奇丑无比
♪ She'd possibly give me a chance ♪	她或许会留意我
Brings back memories.	想起来不少往事
Gracias.	多谢了
Wait, what happened?	他 他怎么啦?
He's been forgotten.	被人遗忘了
When there's no one left in the living world who remembers you...	如果在那边的活人世界里没人记得你
you disappear from this world.	这边的你就会消失
We call it "The Final Death."	我们将这称作"终极死亡"
W-where did he go?	那 那它去哪儿啦?
No one knows.	无人知晓啊
But I've met him.	但是我见过他啊
I could remember him... when I go back.	我回去的时候我还记得它啊
No, it doesn't work like that, chamaco.	不是你想的那样 孩子
Our memories...	我们的故事
They have to be passed down by those who knew us in life.	只能由我们生前的认识的那些人来讲
In the stories they tell about us.	他们的记忆才管用
But there's no one left alive to pass down Chich's stories.	但是活人的世界里没人记得猪皮哥了
Hey, it happens to everyone eventually.	嘿 谁都有消失的一天
Come on, de la Cruzito, you've got a contest to win.	走吧 未来的歌神 你还要去比赛呢
You told me you hated musicians.	你还说你讨厌搞音乐
You never said you were one.	想不到你自己就是一个音乐家
How do you think I knew your great-great-grandpa?	你知道我是怎么认识你曾曾爷爷的?
We used to play music together.	我们一直是搭档
Taught him everything he knows.	他的本事都是我教的
No manches.	你可别吹牛了?
You played with Ernesto de la Cruz?	你是欧内斯托·德拉库斯的搭档?
The greatest musician of all time?	他可是当今世界上最伟大的音乐家!
Oh! Oh, you're funny.	你可真搞笑
Greatest eyebrows of all time, maybe.	他的眉毛也许可以夸夸
But his music, eh, not so much.	但他的音乐 您还是别提了
You don't know what you're talking about.	你吹牛吹得可太过分了
Welcome to the Plaza de la Cruz.	欢迎来到德拉库斯广场
Showtime, chamaco.	好好表现 米格
Querer lo, t-shirts, bobbleheads.	走过路过千万不要错过 文化衫!
Bienvenidos a todos!	各位晚上好
Who's ready for some música?	你们都准备好了吗?
It's a Battle of the Bands, amigos.	这是一场音乐大战
The winner gets to play for the maestro himself...	获胜者将在今晚参加歌神欧内斯托·德拉库斯的
Ernesto de la Cruz on his fiesta tonight!	盛大晚宴 就在那座高塔上
That's our ticket, muchacho.	这场比赛就是我们的入场券 孩子们
Let the competition begin!	比赛现在开始
So, what's the plan? W-what are you gonna play?	什么情况?你准备唱什么?
Definitely "Remember Me."	当然是"请记住我"了
No, not that one. No.	不 不能唱这首
Come on, it's the most popular song.	怎么啦?那可是他最热门的歌
Ah, it's too popular.	太俗了
♪ Remember me though I have to travel far ♪	虽然我要去远方
♪ Remember... ♪	请记住我
♪ Don't let it make you cry ♪	眼泪不要坠落
Um, what about... Poco Loco?	那我唱有点疯狂怎么样?
Epa! Now, that's a song.	对!这首就对了!
De la Cruzito! You're on standby.	未来歌神 你做好准备
Los Chachalacos, you're up next.	鹏鹏恰恰 你准备上台
Los Chachalacos!	鹏鹏恰恰!
You always this nervous before a performance?	你每次上台前都这么紧张吗?
I don't know. I've never performed before.	我不知道 这是我第一次上台表演
What? You said you were a musician!	什么?你不是搞音乐的吗?
I am! I mean, I-I will be.	我是啊 我的意思是 等我赢了
- Ay! - Once I win.	我天 一旦我赢了
That's your plan?	这就是你的计划?
No, no, no, no. You have to win, Miguel.	不不 你必须得赢 米格
Your life literally depends on you winning.	你要是赢不了 就没命了
And you've never done this before?	你以前没上台表演过?
- I'll go up. - Uh, n-no!	- 还是我上吧 - 别别别
- I need to do this. - Why?	- 我一定要自己上 - 为什么?
If I can't go out there and play one song...	如果我连上台表演都不敢
how can I call myself a musician?	那我还当什么音乐家啊?
What does that matter?	这有什么关系?
'Cause I don't just want to get de la Cruz' blessing.	当然有了 因为我不仅想要得到歌神的祝福
I need to prove that...	我还要证明
that I'm worthy of it.	我值得他的祝福
Oh. Oh, that's such a sweet sentiment.	天哪 多么感人的想法啊
At such a bad time!	但却偏偏在这个时候
Okay! Okay, okay. Okay.	好吧 好吧 好吧 好吧
Okay, you wanna perform? Then you've got to perform!	如果你想上台表演 那就给我好好的演
First, you have to loosen up.	首先 要全身放松
Shake off those nerves.	把紧张抖掉
Now, give me your best grito.	现在跟我一起放声长啸
My best grito?	什么是放声长啸?
Come on, yell. Belt it out.	就是这样 玩命的嚎叫
Oh, it feels good.	感觉不错
Okay, now, now, now you.	好 现在轮到你了
Oh, come on, kid.	哎 死定了 孩子
De la Cruzito! You're on now!	未来歌神 该你上了
Miguel, look at me. Hey, hey, look at me.	米格 看着我 嗨 米格看着我
Come on, let's go!	快点!该上场了!
You can do this.	你没问题的
Grab their attention and don't let it go!	放松 别紧张
Héctor...	埃克托
Make them listen, chamaco. You've got this.	米格 你最棒 没问题的
De la Cruzito!	欢迎未来歌神
Arriba-Ba! Hey!	嘿 你最棒了
What's he doing? Why isn't he playing?	他在干什么?他怎么不唱啊?
Bring back the singing dog!	不唱你就滚回去
♪ What color is the sky? ♪	天空是什么颜色?
♪ Ay, mi amor, ay, mi amor ♪	亲爱的 亲爱的
♪ You tell me that it's red ♪	你说它是红色
♪ Ay, mi amor, ay, mi amor ♪	亲爱的 亲爱的
♪ Where should I put my shoes? ♪	鞋放在哪儿呢?
♪ Ay, mi amor, ay, mi amor ♪	亲爱的 亲爱的
♪ You say, "put them on your head!" ♪	你说 放在你头上吧
♪ Ay, mi amor, ay, mi amor ♪	亲爱的 亲爱的
♪ You make me un poco loco ♪	你让我疯狂
♪ un poquititito loco ♪	你让我着迷
♪ The way you keep me guessing ♪	这是怎么了?
♪ I'm nodding and I'm yesing ♪	我点头 我同意
♪ I'll count it as a blessing ♪	这是我的福气
♪ That I'm only un poco loco ♪	我不过是有一点疯狂
Not bad for a dead guy.	跳得不错 老骨头
Not so bad yourself, gordito.	你唱得也不错啊 小肥仔
Eso!	来吧
He's close. Find him.	就在附近 去找他
♪ The loco that you make me ♪	这疯狂由你开始
♪ It is just un poco crazy ♪	这实在是疯狂无比
♪ The sense that you're not making ♪	你真的非常无理
♪ The liberties you're taking ♪	你管我
♪ Leaves my cabeza shaking ♪	让我摇摇头叹息
♪ You are just un poco loco ♪	你就是有一点疯狂
Numero uno, Miguelito!	冠军就是 米格!
We're looking for a living kid.	我们正在找一个活人小男孩
About twelve?	十二岁左右
Have you seen a living boy?	你们见没见到一个活人小男孩?
♪ Un poquiti-ti-ti-ti-ti-ti-ti-ti ♪	有一点点点点点点点点
♪ ti-ti-ti-ti-to loco! ♪	点点点点点疯狂
Hey! You did good!	嗨 你做到了!
I'm proud of you.	我真为你骄傲
Eso!	好!
Hey, where are you going?	喂 你要去哪儿啊?
We gotta get outta here.	我们快点离开这儿
What? You're crazy! We're about to win this thing.	什么!你疯啦!我们这就快要赢了!
Damas y caballeros...	女士们 先生们 安静
I have a emergency announcement.	我刚收到一条紧急通知
Please be on the look out for a living boy.	请大家帮忙找一位活人小男孩
Answers to the name of Miguel.	他的名字叫米格
Earlier tonight, he ran away from his family.	今晚早些时候 他从家人身边走失
They just want to send him back to the Land of the Living.	他的家人只希望能把他送回活人的世界
Wait, wait, wait.	等等等等
You said de la Cruz was your only family.	你说歌神是你唯一的家人
The only person who could send you home.	只有他才能送你回家
I do have other family, but...	我是有其他的家人
You could have taken my photo back this whole time?	你早就可以带着我的照片回去了
But they hate music. I need a musician's blessing.	但是他们讨厌音乐 我需要音乐家的祝福
- You lied to me! - Oh, you're one to talk.	- 你骗了我 - 噢 你还好意思说我
Look at me, I'm being forgotten, Miguel.	你看着我 我就要被人遗忘了 米格
I don't even know if I'm gonna last the night.	我不知道我能不能撑过今晚
I'm not gonna miss my one chance to cross that bridge	我绝不能错过眼前的这个过桥的好机会
'cause you want to live out some stupid musical fantasy.	让你去追求什么荒唐可笑的音乐梦
- It's not stupid. - I'm taking you to your family.	一点也不可笑 跟我去找你的家人
- Let go of me. - You'll thank me later.	放开我 一会儿你就会感谢我了
You don't wanna help me. You only care about yourself.	你根本不想帮我 你只想着你自己
Keep your dumb photo. - No!	你的照片还给你 不行
No, no, no! - Stay away from me!	不不不 别跟着我了
No!	不
Hey, chamaco?	嗨 小格格?
Where did you go?	你去哪儿?
Chamaco?	小格格?
Sorry!	对不起
Come back.	快回来!
Dante, cállate.	丹丹 别叫好不好
Don't Dante, stop it.	别叫了丹丹 别这样
He can't help me.	他帮不了我
Dante, stop.	丹丹 行了
Stop it.	别管我
Leave me alone!	别烦我了
You're not a spirit guide, you're just a dumb dog.	你根本不是爱波瑞吉 你就是一只土狗
Now get outta here!	你给我走开!
It's him!	是他!
It's that living boy!	是那个活人小男孩!
I've heard about him, look!	我刚刚听到他说话了!快看!
He's alive.	他是活人
This nonsense ends now, Miguel!	别胡闹了 小格!
I am giving you my blessing, and you are going home.	我现在就把祝福给你 然后你立刻回家
I don't want your blessing.	我不要你的祝福!
Miguel! Stop!	米格 站住!
Come back!	回来!
Miguel!	小格!
I am trying to save your life.	我这是在救你的命
You're ruining my life.	你是在要我的命!
What?	什么?
Music's the only thing that makes me happy.	没有音乐我就活的不开心
A-and you... you wanna take that away.	可你们 你们就是不让我玩
You'll never understand.	你们永远都不明白
♪ Y aunque la vida me cueste, Llorona ♪	就算要我付出生命
♪ No dejaré de quererte ♪	我也无法停止爱你
I-I thought you hated music.	我以为您讨厌音乐
Oh, I loved it.	噢 我喜欢音乐
I remember that feeling.	我还记得那种感觉
When my husband would play, and I would sing.	我丈夫在我身边弹吉他 我在他旁边唱歌
And nothing else mattered.	其他的一切都不重要了
But when we had Coco...	但后来我们有了可可
suddenly, there was something in my life that mattered more than music.	就在一瞬间 我感觉我的生命里有比音乐更重要的东西
I wanted to put down rules.	我当时一心想安定下来
He wanted to play for the world.	可他却想唱遍全世界
We each made a sacrifice to get what we wanted.	为自己想要的生活 我们不得不做出牺牲
Now, you must make a choice.	现在 你也要做出选择
But I don't wanna pick sides.	但是我不想做这样的选择
Why can't you be on my side?	你们为什么不支持我呢?
That's what family's supposed to do.	一家人难道不应该
Support you.	互相支持吗?
But you never will.	但是你们永远都不会
Have a good time.	祝你们玩得高兴
Oh, how exciting!	天呐 我太激动了
Oh, El Santo!	嗨 亚利桑多先生!
I-I-I'm a big fan.	我 我是您的粉丝
You mind if I?	您能不能让我?
Gracias, señor.	谢谢您 先生
Invitation?	入场券呢?
It's okay, I'm Ernesto's great-great-grandson.	用不着 我是歌神欧内斯托的曾曾孙子
Disculpe, señores.	对不起 打扰了
Hey, hey, guys, it's Poco Loco!	嗨嗨 你们看 这是那首有点疯狂
You were on fire tonight.	你今晚的表现实在是太精彩了
You too!	你们也是
Hey, musician to musician, I need a favor.	看在同行的份上 帮我一个忙吧
Oh, the competition winners. Congratulations, chicos.	音乐大赛的冠军 祝贺你们 请进
Thanks guys.	多谢各位
- Hey, enjoy the party, little músico. - Gracias.	嘿 好好玩吧 音乐小王子 谢谢啦
Look, it's Ernesto.	快看 歌神在那儿
De la Cruz.	德拉库斯
Señor de la Cruz!	歌神德拉库斯
Pardon me.	不好意思
Señor de la Cruz!	德拉库斯先生!
Señor de la...	德拉库斯!
When you see your moment, you mustn't let it pass you by.	遇到好机会 绝不能轻易放过
You must seize it.	一定要抓住机会
We're almost there, Dante.	我们就快到了 丹丹
Señor de la Cruz!	德拉库斯先生
Señor de la...	德拉库斯
But what can we do? It is hopeless.	我们要怎么办呢 这毫无希望
You must have faith, sister.	你要有信心 修女
Oh, but Padre, he will never listen.	可是神父 他是不会听我的
He will listen to music.	那就用音乐来说服他
♪ Señoras y señores ♪	女士们 先生们
♪ Buenas tardes Buenas noches ♪	各位午安 各位晚安
♪ Señoritas y señores ♪	女士们 先生们
♪ To be here with you tonight ♪	今晚我们齐聚一堂
♪ Brings me joy, Que alegría ♪	带给你满心欢喜
♪ For this music is my language ♪	我用音乐代替言语
♪ And the world es mi familia ♪	这世界是个大家庭
♪ For this music is my language ♪	我用音乐代替言语
♪ And the world es mi familia ♪	这世界是个大家庭
♪ For this music is my language ♪	我用音乐代替言语
♪ And the woo-orld es mi familia ♪	这世界是个大家庭
♪ For this music is my Lang-	我用音乐代替言语
Ah!	啊!
Are you all right, niño?	你没事吧?小伙子
It-it's you.	是 是你?
Y-you are that boy.	你就是那个男孩儿?
The one who came from the Land of the Living.	那个从活人世界里来的那个孩子?
You... know about me?	你 你知道我?
You're all anyone has been talking about.	今晚大家说来说去说的都是你
Why have you come here?	你怎么到这儿来了?
I'm Miguel.	我是米格
Your g-great-great-grandson.	我是您的曾曾孙子
I have a great-great-grandson?	我还有个曾曾孙子?
I need your blessing.	我需要您的祝福
So I can go back home and be a musician just like you.	所以我回家后就能像您一样成为一名音乐家
The rest of our family...	家里的其他人
they wouldn't listen.	都不听我说
But I... I hoped you would.	但是我希望您会听
My boy, with a talent like yours...	我的孩子 你有这样的才华
how could I not listen?	我怎么会不听呢?
Haha! I have a great-great-grandson!	我有了一个曾曾孙子!
Look, it's Frida!	快看! 弗里达
Yes, it is I, Frida Kahlo.	对啊 弗里达·卡罗
It is an honor, señora.	这是我的荣幸 夫人
Gracias.	谢谢
Hey, Negrete, Infante.	嗨 内格雷特 因凡特
Have you met my great-great-grandson?	见过我的曾曾孙子没有?
My great-great-grandson!	这是我的曾曾孙子!
He is alive and a musician, to boot.	他还活着 他还是个小小音乐家
Dimple, no dimple. Dimple, no dimple.	有酒窝 没酒窝 有酒窝 没酒窝
No dimple!	没酒窝!
To our friendship. Haha!	为我们的友谊干杯!
